size_label	width	height	fit_mode	exported_pngs	reviewed_on	reviewer	decision	evidence	next_action
iphone_6_9_1260x2736	1260	2736	contain	8	2026-05-09	Codex	release-approved	manifest/dimension QA passed for 8 PNGs; contact sheet spot-check confirms readable padded output	Use for App Store Connect 6.9-inch fallback when this exact size is requested
iphone_6_9_1290x2796	1290	2796	contain	8	2026-05-09	Codex	release-approved	manifest/dimension QA passed for 8 PNGs; visual contact sheet reviewed as primary 6.9-inch export	Use as primary App Store Connect 6.9-inch export candidate
iphone_6_9_1320x2868	1320	2868	contain	8	2026-05-09	Codex	release-approved	manifest/dimension QA passed for 8 PNGs; aspect padding is intentional and content remains centered	Use for App Store Connect 6.9-inch fallback when this exact size is requested
iphone_6_5_1284x2778	1284	2778	contain	8	2026-05-09	Codex	release-approved	manifest/dimension QA passed for 8 PNGs; content remains centered and readable	Use for App Store Connect 6.5-inch export candidate
iphone_6_5_1242x2688	1242	2688	contain	8	2026-05-09	Codex	release-approved	manifest/dimension QA passed for 8 PNGs; content remains centered and readable	Use for App Store Connect 6.5-inch fallback when this exact size is requested
iphone_6_3_1206x2622	1206	2622	contain	8	2026-05-09	Codex	release-approved	manifest/dimension QA passed for 8 PNGs; raw simulator size matches this target	Use for App Store Connect 6.3-inch export candidate
iphone_6_3_1179x2556	1179	2556	contain	8	2026-05-09	Codex	release-approved	manifest/dimension QA passed for 8 PNGs; content remains centered and readable	Use for App Store Connect 6.3-inch fallback when this exact size is requested
iphone_6_1_1170x2532	1170	2532	contain	8	2026-05-09	Codex	release-approved	manifest/dimension QA passed for 8 PNGs; content remains centered and readable	Use for App Store Connect 6.1-inch export candidate
iphone_6_1_1125x2436	1125	2436	contain	8	2026-05-09	Codex	release-approved	manifest/dimension QA passed for 8 PNGs; content remains centered and readable	Use for App Store Connect 6.1-inch fallback when this exact size is requested
iphone_6_1_1080x2340	1080	2340	contain	8	2026-05-09	Codex	release-approved	manifest/dimension QA passed for 8 PNGs; content remains centered and readable	Use for App Store Connect 6.1-inch fallback when this exact size is requested
iphone_5_5_1242x2208	1242	2208	contain	8	2026-05-09	Codex	release-approved	manifest/dimension QA passed for 8 PNGs; contain padding preserves full screenshot content	Use for App Store Connect 5.5-inch export candidate
