id	group	view_or_surface	scenario	raw_source	review_asset	status	release_surface	notes
readme-home	README	Home dashboard	ScreenshotHomeScenario	Docs/Screenshots/README/home_dashboard_light.png	Docs/Screenshots/README/cropped/home_dashboard_light.png	captured, quality review pending	README	Rendered as README documentation preview; release-approved and App Store use still require visual QA.
readme-sleep-start	README	Sleep start	ScreenshotSleepStartScenario	Docs/Screenshots/README/sleep_start_light.png	Docs/Screenshots/README/cropped/sleep_start_light.png	captured, quality review pending	README	Rendered as README documentation preview; release-approved and App Store use still require visual QA.
readme-sleep-report	README	Sleep report	ScreenshotSleepReportScenario	Docs/Screenshots/README/sleep_report_light.png	Docs/Screenshots/README/cropped/sleep_report_light.png	captured, quality review pending	README	Rendered as README documentation preview; release-approved and App Store use still require visual QA.
readme-timeline	README	Event timeline	ScreenshotTimelineScenario	Docs/Screenshots/README/sleep_timeline_light.png	Docs/Screenshots/README/cropped/sleep_timeline_light.png	captured, quality review pending	README	Rendered as README documentation preview; release-approved and App Store use still require visual QA.
readme-morning	README	Morning brief	ScreenshotMorningBriefScenario	Docs/Screenshots/README/morning_brief_light.png	Docs/Screenshots/README/cropped/morning_brief_light.png	captured, quality review pending	README	Rendered as README documentation preview; release-approved and App Store use still require visual QA.
readme-rhythm	README	Daily rhythm report	ScreenshotDailyRhythmScenario	Docs/Screenshots/README/daily_rhythm_report_light.png	Docs/Screenshots/README/cropped/daily_rhythm_report_light.png	captured, quality review pending	README	Rendered as README documentation preview; release-approved and App Store use still require visual QA.
readme-card	README	Daily health card	ScreenshotDailyHealthCardScenario	Docs/Screenshots/README/daily_health_card_light.png	Docs/Screenshots/README/cropped/daily_health_card_light.png	captured, quality review pending	README	Rendered as README documentation preview; release-approved and App Store use still require visual QA.
readme-health	README	Health dashboard	ScreenshotHealthDashboardScenario	Docs/Screenshots/README/health_dashboard_light.png	Docs/Screenshots/README/cropped/health_dashboard_light.png	captured, quality review pending	README	Rendered as README documentation preview; release-approved and App Store use still require visual QA.
appstore-home	App Store	Home dashboard	ScreenshotHomeScenario	Docs/Screenshots/AppStore/raw/01_home_dashboard_light.png	Docs/Screenshots/AppStore/review-cropped/01_home_dashboard_light.png	blocked, recapture required	App Store	Recaptured and exported on 2026-05-09; visual QA still blocks release approval for marketing copy/crop review.
appstore-sleep-report	App Store	Sleep report	ScreenshotSleepReportScenario	Docs/Screenshots/AppStore/raw/02_sleep_report_light.png	Docs/Screenshots/AppStore/review-cropped/02_sleep_report_light.png	blocked, recapture required	App Store	Recaptured and exported on 2026-05-09; visual QA still blocks release approval for marketing copy/crop review.
appstore-timeline	App Store	Event timeline	ScreenshotTimelineScenario	Docs/Screenshots/AppStore/raw/03_sleep_timeline_light.png	Docs/Screenshots/AppStore/review-cropped/03_sleep_timeline_light.png	blocked, recapture required	App Store	Recaptured and exported on 2026-05-09; visual QA still blocks release approval for marketing copy/crop review.
appstore-rhythm	App Store	Daily rhythm report	ScreenshotDailyRhythmScenario	Docs/Screenshots/AppStore/raw/04_daily_rhythm_report_light.png	Docs/Screenshots/AppStore/review-cropped/04_daily_rhythm_report_light.png	blocked, recapture required	App Store	Recaptured and exported on 2026-05-09; visual QA still blocks release approval for marketing copy/crop review.
appstore-card	App Store	Daily health card	ScreenshotDailyHealthCardScenario	Docs/Screenshots/AppStore/raw/05_daily_health_card_light.png	Docs/Screenshots/AppStore/review-cropped/05_daily_health_card_light.png	blocked, recapture required	App Store	Recaptured and exported on 2026-05-09; visual QA still blocks release approval for marketing copy/crop review.
appstore-health	App Store	Health metrics overview	ScreenshotHealthMetricsOverviewScenario	Docs/Screenshots/AppStore/raw/06_health_metrics_overview_light.png	Docs/Screenshots/AppStore/review-cropped/06_health_metrics_overview_light.png	blocked, recapture required	App Store	Recaptured and exported on 2026-05-09; visual QA still blocks release approval for marketing copy/crop review.
appstore-privacy	App Store	Privacy settings	ScreenshotPrivacyScenario	Docs/Screenshots/AppStore/raw/07_privacy_settings_light.png	Docs/Screenshots/AppStore/review-cropped/07_privacy_settings_light.png	blocked, recapture required	App Store	Recaptured and exported on 2026-05-09; visual QA still blocks release approval for marketing copy/crop review.
appstore-zero-event	App Store	Zero-event report	ScreenshotZeroEventScenario	Docs/Screenshots/AppStore/raw/08_zero_event_report_light.png	Docs/Screenshots/AppStore/review-cropped/08_zero_event_report_light.png	blocked, recapture required	App Store	Recaptured and exported on 2026-05-09; visual QA still blocks release approval for marketing copy/crop review.
health-overview	Health	Health metrics overview	ScreenshotHealthMetricsOverviewScenario	Docs/Screenshots/Health/health_metrics_overview_light.png	Docs/Screenshots/Health/cropped/health_metrics_overview_light.png	captured, quality review pending	UI Gallery	Contact sheet approval required before rendering.
health-fitdays	Health	Fitdays import	ScreenshotFitdaysImportScenario	Docs/Screenshots/Health/fitdays_import_light.png	Docs/Screenshots/Health/cropped/fitdays_import_light.png	captured, quality review pending	UI Gallery	Contact sheet approval required before rendering.
health-fitdays-result	Health	Fitdays import result	ScreenshotFitdaysImportResultScenario	Docs/Screenshots/Health/fitdays_import_result_light.png	Docs/Screenshots/Health/cropped/fitdays_import_result_light.png	blocked, recapture required	UI Gallery	Synthetic fixture filename is visible; recapture with public copy before rendering.
health-fitdays-error	Health	Fitdays import error	ScreenshotImportErrorScenario	Docs/Screenshots/Health/fitdays_import_error_light.png	Docs/Screenshots/Health/cropped/fitdays_import_error_light.png	captured, quality review pending	UI Gallery	Contact sheet approval required before rendering.
health-calendar	Health	Health calendar	ScreenshotHealthCalendarScenario	Docs/Screenshots/Health/health_calendar_light.png	Docs/Screenshots/Health/cropped/health_calendar_light.png	captured, quality review pending	UI Gallery	Contact sheet approval required before rendering.
health-daily-detail	Health	Daily measurement detail	ScreenshotDailyMeasurementDetailScenario	Docs/Screenshots/Health/daily_measurement_detail_light.png	Docs/Screenshots/Health/cropped/daily_measurement_detail_light.png	captured, quality review pending	UI Gallery	Contact sheet approval required before rendering.
health-metric-body-water	Health	Metric detail body water	ScreenshotMetricDetailScenario	Docs/Screenshots/Health/metric_detail_body_water_light.png	Docs/Screenshots/Health/cropped/metric_detail_body_water_light.png	captured, quality review pending	UI Gallery	Contact sheet approval required before rendering.
